Playbook Name,Module,Owner Council,Supporting Councils,Status,Version,Inference Type,Confidence Level,Risk if Wrong,Last Updated,Primary Question,Strategic Role,Informs,Does NOT Decide,Primary Data Source,Inputs,Logic Principle,Normalization,Council Rule 1,Council Rule 2,Confidence Drivers,Structured Outputs,Visual Outputs,Executive Safe Interpretation,Interpretation Limits,Stop Rules,Upstream Dependencies,Downstream Consumers,LLM Tone,LLM Hard Rules,Example Insight,Final Principle,Version Planned,Unit of Analysis,Update Frequency
Action Cards Playbook,Action Cards,Growth Strategy & Planning,All Councils,Active,v1,Hybrid,High,High,13 de diciembre de 2025,What exactly should we do next — and why?,"Convert analysis into bounded, decision-ready recommendations.","Priority Scoring, Deprioritization Flags, OS Drop","Execution order, Budgets, Outcomes",Internal Upstream Signals,Aggregate signal from multiple modules,"Decision units (Action, Rationale, Impact, Confidence, Dependencies)",Consolidated upstream signals,No vague recommendations,One primary action per card,Derived from upstream module confidence,Discrete Action Cards (JSON + UI),Action Card UI,Decision units to be debated/approved,Not execution tickets,"Data integrity issues, speculative signal, structural constraints","Keyword Gap, Market Demand, Momentum Index, Paid vs Organic, SOV","Priority Scoring, Deprioritization Flags, OS Drop","Strategic, Decisive","No vague language, tied to signal",Launch mid-funnel category pages for 'recovery sandals'.,What should we do based on what we now know?,N/A,Strategic Actions,Per Report Cycle
Branded vs Non-Branded Demand Capture Playbook,Branded vs Non-Branded Demand Capture,Performance Media & Messaging,SEO Visibility & Demand,Active,v1,External,Medium,Medium,13 de diciembre de 2025,Are customers finding us because they want us — or because they need this category?,Diagnose demand mix health and growth ceiling risk.,"TOF investment, SEO prioritization, Acquisition balance","Brand strength, Channel mix, Lifecycle analysis",Ahrefs,Search demand split,Brand dependency % vs Category exposure %,Branded terms variants normalized,No false efficiency narratives,High branded share is fragile,"Search behavior lag, demand echo","Brand vs category split, risk flags",Historical trend chart,Discoverability and scalability of acquisition,Does not mean 'brand is weak' or 'paid should stop',"Newly accelerating brand search, recent launches, offline campaign dominance",Ahrefs,"Strategic Summary, Action Cards, Market Momentum",Diagnostic,Tone aware of dark social amplification,Reveal over-reliance on branded demand.,How are people finding us today?,N/A,Search Queries,Monthly
Breakout Terms & Trend Alerts Playbook,Breakout Terms & Trend Alerts,Strategic Intelligence,N/A,Active,v1,External,Medium,Medium,13 de diciembre de 2025,What's starting to change?,Identify what's starting to matter — not what already dominates.,"Content ideation, Creative testing, Messaging shifts","Revenue prediction, Keyword research replacement, Sustained demand",Google Trends,Acceleration vs Category baseline,"Velocity > size, Consistency > novelty",Compared against category baseline,Acceleration matters more than absolute volume,Exclude one-week anomalies,"Normalized data, fade risk","Breakout term clusters, alerts",Acceleration indicators,Early messaging and attention shifts,Not a guarantee of conversion or product build signal,"Isolated spikes, low commercial intent, no category support","Google Trends, Ahrefs (validation)","Market Momentum Index, Strategic Summary, Action Cards","Exploratory, Alerting","Frame as hypothesis, don't claim performance",Early signals of emerging demand pockets.,Identify early signals before they are obvious.,N/A,Emerging Search Terms,Monthly
Category Visibility Benchmark Playbook,Category Visibility Benchmark,Strategic Intelligence,SEO Visibility & Demand,Active,v1,External,High,Medium,13 de diciembre de 2025,How much of the category's attention do we actually control?,Establish category-level competitive context.,"Strategic narratives, SEO confidence, Momentum Index","Keyword-level actions, Revenue estimate, Content quality",Ahrefs,Category-defining keyword clusters,Relative share of category attention,Normalized visibility per domain,Relative position > absolute rank,Momentum beats incumbency,"Observable rankings, definition bias risk","SOV distribution, competitor comparison","Radar charts, stacked bars, trend deltas",Where pressure is increasing in the category,Not a proxy for revenue loss or broken SEO,"Fuzzy category definition, SERP feature dominance, marginal shifts","Ahrefs, DataForSEO","Market Momentum Index, Strategic Summary, Action Cards",Benchmark-oriented,Pause if category definition is fuzzy,Benchmarking attention control against peers.,Where do we stand in the category?,N/A,Keyword Clusters,Monthly
Competitor Ad & Landing Page Strategy Playbook,Competitor Ad & Landing Page Strategy,Performance Media & Messaging,"Creative & Funnel, Strategic Intelligence",Active,v1,External,Medium,Medium,13 de diciembre de 2025,"What narratives, hooks, and offers are competitors betting on?","Inform messaging, creative direction, and offer framing.","Creative briefs, Messaging tests, Funnel hypotheses","Performance outcomes, creative cloning, first-party testing replacement","SERPAPI, Bright Data",Competitor ad copy and landing pages,"Patterns > individual ads, conviction via spend",Pattern extraction and clustering,Competitor spend signals conviction,Messaging convergence suggests signal,"Ads indicate intent not performance, page rotation","Message patterns, offer trends, funnel archetypes","Ad pattern table, structure comparison",What competitors believe the market responds to,Not a 'this ad works' proof,"Isolated patterns, inconsistent messaging, positioning conflict","SERPAPI, Bright Data","Action Cards, Creative Briefs","Observational, Strategic","Never recommend copying, never claim performance",Convergence on hooks suggests market-driven belief.,What are competitors betting on right now?,v1.1: Time-series shift detection,Ad Copy & Funnel Hooks,Monthly
Deprioritization Flags Playbook,Deprioritization Flags,Growth Strategy & Planning,Ops & Attribution,Active,v1,Hybrid,High,High,13 de diciembre de 2025,What looks attractive — but isn't worth pursuing right now?,Prevent wasted effort and budget on false positives.,"Decision to stop, delay, or ignore opportunities","Long-term value (only near-term fit), execution logic",Upstream Flags,"Gaps, Demand, Overlap, Diagnostics","Raise flags for Structural, Measurement, or Strategic mismatch",Consolidated risk codes,Explicit tradeoffs,Clear 'no' decisions,"Signal consensus, attribution reliability","List of deprioritized items, reason codes",N/A,Where we should NOT invest attention,Does not mean 'bad idea forever',When signal confidence is materially downgraded,"Keyword Gap, Market Demand, Overlap, Ops Diagnostics","OS Drop, Action Cards (exclusion)","Neutral, Gating",Rationale must be finance/product acceptable,"SERPs suppress organic clicks, making gap unwinnable.",Focus is a growth lever.,N/A,Strategic Opportunities,Per Report Cycle
Emerging Competitor Watch Playbook,Emerging Competitor Watch,Strategic Intelligence,N/A,Active,v1,External,Medium,Medium,13 de diciembre de 2025,Who is starting to matter — before everyone notices?,Surface early competitive threats or opportunities.,"Intelligence briefings, Momentum Index, Defense actions","Competitor success, Product quality, Counter-moves","SERPAPI, Ahrefs",Visibility velocity vs Baseline,"Growth velocity > size, Consistency > news spikes",Velocity indicators across clusters,Early movement > dominance,New narratives signal category change,"Sustained trend, visibility/revenue disconnect","List of fast-risers, velocity indicators","Velocity indicators, positioning notes",Where the market may be changing players,Not a guarantee of long-term persistence,"Isolated keyword growth, PR spikes, no sustained trend","SERPAPI, Ahrefs","Market Momentum Index, Strategic Summary, Action Cards","Alerting, Analytical",Flag as monitor only if trend is weak,New entrants gaining traction quietly.,Identify emerging threats early.,N/A,New/Rising Domains,Monthly
Keyword Gap & Visibility Playbook,Keyword Gap & Visibility,SEO Visibility & Demand,"Strategic Intelligence, Performance Media",Active,v1,External,Medium,Medium,13 de diciembre de 2025,Is SEO a smart place to invest next?,Turn SEO into a demand capture lever with commercial framing.,"SOV, Overlap, Growth Strategy planning","Exact traffic forecasts, Guaranteed ROI, Sequencing",Ahrefs,Content Gap API (domain-level),"Intent > volume, Structural capability check",CTR scenario-based valuation,Visibility only matters where clicks exist,Structure beats content volume,"CPC proxy, SERP dynamic volatility","Missed keyword count, directional value clusters","Bar chart: value by competitor, Top 10 Table",Where SEO may reduce paid dependency,Not a promise of guaranteed traffic or replacement of paid," ऑर्गेनिक clicks suppressed by ads/shipping, insufficient brand authority",Ahrefs Content Gap,"SOV, Overlap, Action Cards","Executive, Commercial",Never list raw keywords without intent framing,Missing $300-400K/mo in mid-intent demand.,Where is SEO a credible growth lever?,v1.1: SERP hostility scoring,Keyword Gaps (Commercially Filtered),Weekly (Cache) / Monthly
Link Authority & Technical SEO Playbook,Link Authority & Technical SEO,SEO Visibility & Demand,N/A,Active,v1,External,High,Low,13 de diciembre de 2025,Can SEO work for us right now?,Assess SEO readiness before content investment.,"Content investment, SEO/Paid arbitration, Deprioritization","Full technical audit replacement, detailed fixes, content quality",Ahrefs,"Domain Rating, Link velocity, Link decay",Authority gap threshold relative to peers,Relative competitors weighting,Structure before content,Weakness is a gating factor not task,Stable structural signals,"Authority table, readiness flag",N/A,Whether structure blocks growth,Not a mandate to 'fix everything' immediately,"Authority gaps are marginal, short-term volatility",Ahrefs,"Keyword Gap, Deprioritization Flags, Action Cards",Foundation-focused,Structure first emphasis,Structural foundation too weak for high-intent demand.,Structural capabilty vs demand blockers.,N/A,Domain Health & Authority,Monthly
Market Demand & Seasonality Playbook,Market Demand & Seasonality,Strategic Intelligence,"Growth Strategy, Performance Media",Active,v1,External,High,Medium,13 de diciembre de 2025,When should we move?,Establish WHEN to invest before WHERE or HOW MUCH.,"Media flighting, Content launch timing, GTM readiness","Budget size, Channel mix, Creative strategy",Google Trends,"Query groups, country_code, time_range","Consistency > magnitude, Timing > volume",Relative intensity (0-100),Early inflection > peak,Never run on single keywords,"Repeatable seasonal spikes, forecasting uncertainty","Weekly curve, peak months, YoY assessment","Line chart, Seasonality heatmap",Calendar-aware growth decisions,Not exact revenue forecasts,"Flat demand, one-year spikes, contradictory forecast",Google Trends API,Growth Strategy & Planning,"Strategic, Calendar-aware","Never claim absolute volume, anchor to calendar","Demand starts rising in March, ramp media in Feb.",Establish timing before sizing.,v1.1: Category Momentum delta,Category Clusters,Monthly / Per Scope Change
