Name,Active,Confidence Level,Decision Type,Downstream Outputs,Inference Type,Module Layer,Module Version,Narrative Section,Owner Council,Primary Question Answered,Reusable Dataset,Risk if Wrong,Supporting Councils,Upstream Data Sets
Market Demand & Seasonality,In Development,High,Diagnose,Executive Summary;Charts,External,Signal,v1,Market Context,Strategic Intelligence (https://www.notion.so/Strategic-Intelligence-2c83ce1305c581948309c50dc29eab90?pvs=21),When does demand actually happen?,TRUE,Medium,,Google Trends
Breakout Terms & Trend Alerts,Ready for Review,Medium,Prioritize,Executive Summary;Trend Alerts,External,Signal,v1,Market Context,Strategic Intelligence (https://www.notion.so/Strategic-Intelligence-2c83ce1305c581948309c50dc29eab90?pvs=21),What’s new and gaining traction fast?,TRUE,Medium,,Google Trends;Ahrefs
Category Visibility Benchmark,Ready for Review,High,Diagnose,Charts;Executive Summary,External,Signal,v1,Market Context,Strategic Intelligence (https://www.notion.so/Strategic-Intelligence-2c83ce1305c581948309c50dc29eab90?pvs=21),Who is winning attention in our category?,TRUE,Medium,SEO Visibility & Demand,Ahrefs;DataForSEO
Emerging Competitor Watch,Ready for Review,Medium,Diagnose,Executive Summary;Alerts,External,Signal,v1,Market Context,Strategic Intelligence (https://www.notion.so/Strategic-Intelligence-2c83ce1305c581948309c50dc29eab90?pvs=21),Who is rising that we may not be tracking yet?,TRUE,Medium,,SERPAPI;Ahrefs
Market Momentum Index,Ready for Review,Medium,Prioritize,Executive Summary;Momentum Indicator,Hybrid,Analysis,v1,Market Context,Strategic Intelligence (https://www.notion.so/Strategic-Intelligence-2c83ce1305c581948309c50dc29eab90?pvs=21),Is this a moment to move or wait?,TRUE,High,Growth Strategy & Planning,Google Trends;Ahrefs;SERPAPI
Keyword Gap & Visibility,In Development,Medium,Prioritize,Action Cards;Tables,External,Signal,v1,Brand Positioning,,What search demand are we missing?,TRUE,Medium,Strategic Intelligence,Ahrefs
Share of Voice vs Competitors,Ready for Review,High,Diagnose,Charts;Executive Summary,External,Signal,v1,Brand Positioning,,How visible are we compared to competitors?,TRUE,Medium,Strategic Intelligence,Ahrefs;SERPAPI
Link Authority & Technical SEO,Ready for Review,High,Diagnose,Risk Flags;Executive Summary,External,Pulse,v1,Brand Positioning,,Are we structurally strong enough to compete?,TRUE,Low,,Ahrefs
Branded vs Non-Branded Demand Capture,Ready for Review,Medium,Diagnose,Executive Summary;Charts,External,Pulse,v1,Execution Signals,Performance Media & Messaging (https://www.notion.so/Performance-Media-Messaging-2c83ce1305c581d3a3f2f5e76630d039?pvs=21),Do people find us by name or by category?,TRUE,Medium,SEO Visibility & Demand,Ahrefs
Paid vs Organic Overlap (SERP Cannibalization),Ready for Review,Medium,Reallocate,Action Cards;Cost Estimates,External,Analysis,v1,Execution Signals,Performance Media & Messaging (https://www.notion.so/Performance-Media-Messaging-2c83ce1305c581d3a3f2f5e76630d039?pvs=21),Are we paying for demand we already own?,TRUE,High,Ops & Attribution,SERPAPI;Bright Data
Competitor Ad & Landing Page Strategy,Ready for Review,Medium,Prioritize,Creative Insights;Executive Summary,External,Signal,v1,Execution Signals,Performance Media & Messaging (https://www.notion.so/Performance-Media-Messaging-2c83ce1305c581d3a3f2f5e76630d039?pvs=21),What messages are winning in-market right now?,FALSE,Medium,Creative & Funnel,Bright Data;SERPAPI
Strategic Summary,Ready for Review,High,Prioritize,Executive Narrative,Hybrid,Analysis,v1,Strategic Actions,Growth Strategy & Planning (https://www.notion.so/Growth-Strategy-Planning-2c83ce1305c5810e9ebef7e7137a53e2?pvs=21),What matters most right now?,FALSE,High,Marketing Council,All Modules
Action Cards,Ready for Review,High,Prioritize,Action Cards,Hybrid,Analysis,v1,Strategic Actions,Growth Strategy & Planning (https://www.notion.so/Growth-Strategy-Planning-2c83ce1305c5810e9ebef7e7137a53e2?pvs=21),What should we do next?,FALSE,High,All Councils,All Modules
Priority Scoring,Ready for Review,Medium,Prioritize,Priority Matrix,Hybrid,Analysis,v1,Strategic Actions,Growth Strategy & Planning (https://www.notion.so/Growth-Strategy-Planning-2c83ce1305c5810e9ebef7e7137a53e2?pvs=21),What should we do first?,FALSE,Medium,,All Modules
Deprioritization Flags,Ready for Review,High,Deprioritize,Executive Summary,Hybrid,Analysis,v1,Strategic Actions,Growth Strategy & Planning (https://www.notion.so/Growth-Strategy-Planning-2c83ce1305c5810e9ebef7e7137a53e2?pvs=21),What should we stop or delay?,FALSE,High,Ops & Attribution,All Modules
OS Drop (Executive 1-Pager),Ready for Review,High,Prioritize,Executive Deck;1-Pager,Hybrid,Analysis,v1,Strategic Actions,Growth Strategy & Planning (https://www.notion.so/Growth-Strategy-Planning-2c83ce1305c5810e9ebef7e7137a53e2?pvs=21),What are the key decisions to align on?,FALSE,Low,Marketing Council,All Modules
