Keyword,Volume,KD,CPC,Macro Category,Category,Product Type,Topic,User Intent,Intent,Is Brand,Content Type,Funnel,Est. Traffic,Est. Value,oofos.com: Position,kanefootwear.com: Position,hoka.com: Position,kurufootwear.com: Position,aetrex.com: Position,orthofeet.com: Position,velousfootwear.com: Position,reef.com: Position,olukai.com: Position
slippers,216000,13,0.39,Apparel,Footwear,Slipper,Slipper,Find slippers,Transactional,FALSE,Product Page,Conversion,46656,18195.84,63,,,75,,15,,,47
mens slippers,126000,6,0.52,Apparel,Footwear,Slipper,Slipper,Find men's slippers,Transactional,FALSE,Product Page,Conversion,27216,14152.32,46,,,,,9,,,15
clogs,124000,28,0.7,Apparel,Footwear,Clog,Clog,Find clogs,Transactional,FALSE,Product Page,Conversion,26784,18748.8,23,,,,37,,,,
slippers for women,119000,4,0.44,Apparel,Footwear,Slipper,Slipper,Find women's slippers,Transactional,FALSE,Product Page,Conversion,25704,11309.76,86,,,,,76,,,30
sandals,117000,69,0.52,Apparel,Footwear,Sandal,Sandal,Find sandals,Transactional,FALSE,Product Page,Conversion,25272,13141.44,17,,,,,,,46,
womens slippers,75000,8,0.43,Apparel,Footwear,Slipper,Slipper,Find women's slippers,Transactional,FALSE,Product Page,Conversion,16200,6966,82,,,86,,1,,,14
dsw shoes,72000,6,0.27,Apparel,Footwear Retailer,Shoe Store,Dsw,Find DSW store or products,Navigational,TRUE,Homepage,Retention,24192,6531.84,72,,60,,,,,,
good feet store,56000,40,0.66,Health,Foot Care,Orthotics Store,Good Feet Store,Find Good Feet Store,Navigational,TRUE,Homepage,Retention,18816,12418.560000000001,35,,49,,,15,,,
on cloud shoes women,56000,1,0.27,Apparel,Footwear,Running Shoe,On Cloud Shoe,Find On Cloud shoes for women,Transactional,TRUE,Product Page,Conversion,16934,4572.18,76,,87,,,,,,
the good feet store,46000,2,0.64,Health,Foot Care,Orthotics Store,Good Feet Store,Find Good Feet Store,Navigational,TRUE,Homepage,Retention,15456,9891.84,43,,57,,,31,,,
on cloud sneakers,45000,4,0.37,Apparel,Footwear,Sneaker,On Cloud Sneaker,Find On Cloud sneakers,Transactional,TRUE,Product Page,Conversion,13608,5034.96,63,,79,,,,,,
oc shoes,37000,8,0.31,Apparel,Footwear,Shoe,On Cloud Shoe,Find On Cloud shoes,Transactional,TRUE,Product Page,Conversion,11189,3468.59,29,,51,,,,,,
vionic,31000,5,0.27,Apparel,Footwear,Shoe,Vionic Shoe,Find Vionic products,Navigational,TRUE,Homepage,Retention,10416,2812.32,72,,,,,84,,,
slippers for men,30000,6,0.54,Apparel,Footwear,Slipper,Slipper,Find men's slippers,Transactional,FALSE,Product Page,Conversion,6480,3499.2000000000003,49,,,81,,48,,72,26
toe shoes,27000,4,0.24,Apparel,Footwear,Minimalist Shoe,Toe Shoe,Find toe shoes,Transactional,FALSE,Product Page,Conversion,5832,1399.6799999999998,36,,,,,79,,,
oofos shoes,27000,6,0.25,Apparel,Footwear,Recovery Shoe,Oofos Shoe,Find Oofos shoes,Transactional,TRUE,Product Page,Conversion,8165,2041.25,1,,,,,,,,100
best slippers for women,26000,1,0.42,Apparel,Footwear,Slipper,Slipper,Research best women's slippers,Commercial,FALSE,Blog Post,Consideration,6240,2620.7999999999997,57,,,,,17,,,3
flip flops,25000,48,0.71,Apparel,Footwear,Flip Flop,Flip Flop,Find flip flops,Transactional,FALSE,Product Page,Conversion,5400,3834,37,,,,61,,,3,21
mens slides,25000,7,0.41,Apparel,Footwear,Slide,Slide,Find men's slides,Transactional,FALSE,Product Page,Conversion,5400,2214,12,,52,,,,,3,14
clogs for women,23000,6,0.3,Apparel,Footwear,Clog,Clog,Find women's clogs,Transactional,FALSE,Product Page,Conversion,4968,1490.3999999999999,55,,,,53,,,40,
sandals for women,23000,11,0.22,Apparel,Footwear,Sandal,Sandal,Find women's sandals,Transactional,FALSE,Product Page,Conversion,4968,1092.96,76,,74,,73,,,39,18
vionic slippers,22000,10,0.23,Apparel,Footwear,Slipper,Vionic Slipper,Find Vionic slippers,Transactional,TRUE,Product Page,Conversion,6653,1530.19,48,,,,,62,,,
orthopedic shoes,22000,56,0.58,Health,Foot Care,Orthopedic Shoe,Orthopedic Shoe,Find orthopedic shoes,Transactional,FALSE,Product Page,Conversion,4752,2756.16,22,111,1,1,33,9,,,
non slip work shoes,21000,7,0.5,Apparel,Footwear,Work Shoe,Non Slip Work Shoe,Find non-slip work shoes,Transactional,FALSE,Product Page,Conversion,4536,2268,85,,88,11,,86,,,
slides for men,21000,6,0.4,Apparel,Footwear,Slide,Slide,Find men's slides,Transactional,FALSE,Product Page,Conversion,4536,1814.4,13,,51,,,,,,
house slippers,21000,12,0.53,Apparel,Footwear,House Slipper,Slipper,Find house slippers,Transactional,FALSE,Product Page,Conversion,4536,2404.08,66,,,39,,45,,,27
fuzzy slippers,20000,0,0.43,Apparel,Footwear,Slipper,Slipper,Find fuzzy slippers,Transactional,FALSE,Product Page,Conversion,4320,1857.6,30,,,,,,,,36
cloud sneakers,20000,4,0.37,Apparel,Footwear,Sneaker,Cloud Sneaker,Find cloud sneakers,Transactional,FALSE,Product Page,Conversion,4320,1598.4,64,,74,,,,,,
slides for women,20000,4,0.35,Apparel,Footwear,Slide,Slide,Find women's slides,Transactional,FALSE,Product Page,Conversion,4320,1512,14,,55,,78,,,18,53
men's on cloud shoes,19000,0,0.39,Apparel,Footwear,Running Shoe,On Cloud Shoe,Find On Cloud shoes for men,Transactional,TRUE,Product Page,Conversion,5746,2240.94,79,,70,,,,,,
men slippers,19000,8,0.44,Apparel,Footwear,Slipper,Slipper,Find men's slippers,Transactional,FALSE,Product Page,Conversion,4104,1805.76,61,,,106,,70,,86,38
good feet store near me,19000,0,0.85,Health,Foot Care,Orthotics Store,Good Feet Store,Find Good Feet Store nearby,Navigational,TRUE,Homepage,Retention,6384,5426.4,21,,,,,17,,,
on cloud shoes men,19000,0,0.33,Apparel,Footwear,Running Shoe,On Cloud Shoe,Find On Cloud shoes for men,Transactional,TRUE,Product Page,Conversion,5746,1896.18,67,,70,,,,,,
most comfortable shoes,19000,7,0.66,Apparel,Footwear,Shoe,Comfortable Shoe,Research most comfortable shoes,Commercial,FALSE,Blog Post,Consideration,4560,3009.6000000000004,81,,36,25,,30,,,
slides shoes,18000,9,0.51,Apparel,Footwear,Slide,Slide,Find slides shoes,Transactional,FALSE,Product Page,Conversion,3888,1982.88,31,,72,,,,,46,23
happy returns,18000,2,0.18,Retail Service,Returns Service,Logistic,Happy Return,Learn about Happy Returns service,Informational,TRUE,Blog Post,Awareness,6653,1197.54,67,,,,,73,,,
walking shoes for women,18000,8,0.31,Apparel,Footwear,Walking Shoe,Walking Shoe,Find walking shoes for women,Transactional,FALSE,Product Page,Conversion,3888,1205.28,70,,15,,,53,,,
women sandals,16000,16,0.28,Apparel,Footwear,Sandal,Sandal,Find women's sandals,Transactional,FALSE,Product Page,Conversion,3456,967.6800000000001,70,,71,,,,,31,19
nursing shoes,16000,10,0.8,Apparel,Footwear,Nursing Shoe,Nursing Shoe,Find nursing shoes,Transactional,FALSE,Product Page,Conversion,3456,2764.8,40,62,5,95,,32,,,
women's slippers,16000,8,0.31,Apparel,Footwear,Slipper,Slipper,Find women's slippers,Transactional,FALSE,Product Page,Conversion,3456,1071.36,70,,,88,,,,,14
croc sandals,16000,4,0.42,Apparel,Footwear,Sandal,Croc Sandal,Find Croc sandals,Transactional,TRUE,Product Page,Conversion,4838,2031.96,68,,86,,,,,,
black sandals,15000,0,0.23,Apparel,Footwear,Sandal,Sandal,Find black sandals,Transactional,FALSE,Product Page,Conversion,3240,745.2,74,,100,,,,,46,90
slip on shoes for women,15000,2,0.34,Apparel,Footwear,Slip-on Shoe,Slip-on Shoe,Find slip-on shoes for women,Transactional,FALSE,Product Page,Conversion,3240,1101.6000000000001,64,,,52,,62,,,6
white sandals,15000,0,0.27,Apparel,Footwear,Sandal,Sandal,Find white sandals,Transactional,FALSE,Product Page,Conversion,3240,874.8000000000001,83,,,,,,,36,80
nurse shoes,15000,9,0.8,Apparel,Footwear,Nursing Shoe,Nursing Shoe,Find nurse shoes,Transactional,FALSE,Product Page,Conversion,3240,2592,40,69,3,66,,48,,,
best slippers,15000,8,0.55,Apparel,Footwear,Slipper,Slipper,Research best slippers,Commercial,FALSE,Blog Post,Consideration,3600,1980.0000000000002,49,,,,,,,101,10
chanclas,15000,0,0.18,Apparel,Footwear,Flip Flop,Flip Flop,Find chanclas,Transactional,FALSE,Product Page,Conversion,3240,583.1999999999999,71,,,,,,,66,51
women slippers,15000,5,0.31,Apparel,Footwear,Slipper,Slipper,Find women's slippers,Transactional,FALSE,Product Page,Conversion,3240,1004.4,64,,,94,,88,,,39
best men's slippers,15000,4,0.49,Apparel,Footwear,Slipper,Slipper,Research best men's slippers,Commercial,FALSE,Blog Post,Consideration,3600,1764,70,,,38,,30,,,10
house slippers for women,14000,6,0.37,Apparel,Footwear,House Slipper,Slipper,Find house slippers for women,Transactional,FALSE,Product Page,Conversion,3024,1118.8799999999999,42,,,59,,,,,10
clogs for men,14000,1,0.55,Apparel,Footwear,Clog,Clog,Find men's clogs,Transactional,FALSE,Product Page,Conversion,3024,1663.2,34,,,,64,,,,
hoka slides,14000,1,0.35,Apparel,Footwear,Slide,Slide,Find Hoka slides,Transactional,TRUE,Product Page,Conversion,4234,1481.8999999999999,44,,1,,,,,,
mens sandals,14000,11,0.39,Apparel,Footwear,Sandal,Sandal,Find men's sandals,Transactional,FALSE,Product Page,Conversion,3024,1179.3600000000001,86,,45,,,,,7,33
plantar fasciitis shoes,14000,3,0.75,Apparel,Footwear,Therapeutic Shoe,Therapeutic Shoe,Find shoes for plantar fasciitis,Commercial,FALSE,Blog Post,Consideration,3360,2520,97,,,7,21,20,,,
ugg men slippers,13000,0,0.45,Apparel,Footwear,Slipper,Slipper,Find Ugg men's slippers,Transactional,TRUE,Product Page,Conversion,3931,1768.95,93,,,,,,,,70
mens clogs,13000,3,0.58,Apparel,Footwear,Clog,Clog,Find men's clogs,Transactional,FALSE,Product Page,Conversion,2808,1628.6399999999999,36,,,,,,,,94
diabetic shoes,13000,2,0.44,Apparel,Footwear,Therapeutic Shoe,Therapeutic Shoe,Find diabetic shoes,Commercial,FALSE,Blog Post,Consideration,3120,1372.8,29,,,,,6,,,
nike nurse shoes,13000,2,0.34,Apparel,Footwear,Work Shoe,Work Shoe,Find Nike nurse shoes,Transactional,TRUE,Product Page,Conversion,3931,1336.5400000000002,65,,63,86,,,,,
men's slippers,12000,5,0.52,Apparel,Footwear,Slipper,Slipper,Find men's slippers,Transactional,FALSE,Product Page,Conversion,2592,1347.8400000000001,62,,,69,,66,,106,17
men slides,12000,6,0.33,Apparel,Footwear,Slide,Slide,Find men's slides,Transactional,FALSE,Product Page,Conversion,2592,855.36,14,,48,,,,,12,41
oc sneakers,12000,17,0.33,Apparel,Footwear,Sneaker,Sneaker,Find On Cloud sneakers,Transactional,TRUE,Product Page,Conversion,3629,1197.5700000000002,52,,49,,,,,,
hoka recovery slide,11000,1,0.32,Apparel,Footwear,Recovery Slide,Slide,Find Hoka recovery slides,Transactional,TRUE,Product Page,Conversion,3326,1064.32,60,,1,93,,,,,
slipper,11000,12,0.55,Apparel,Footwear,Slipper,Slipper,Find slippers,Transactional,FALSE,Product Page,Conversion,2376,1306.8000000000002,22,,,,,73,,,37
best slippers for men,11000,3,0.51,Apparel,Footwear,Slipper,Slipper,Research best men's slippers,Commercial,FALSE,Blog Post,Consideration,2640,1346.4,64,,,68,,,,,3
birkenstock boots,10000,0,0.28,Apparel,Footwear,Boot,Boot,Find Birkenstock boots,Transactional,TRUE,Product Page,Conversion,4032,1128.96,71,,,,,,,102,
oofos slippers,10000,3,0.23,Apparel,Footwear,Slipper,Slipper,Find Oofos slippers,Transactional,TRUE,Product Page,Conversion,4032,927.36,1,,,,,,,,93
mens house shoes,10000,9,0.43,Apparel,Footwear,Slipper,Slipper,Find men's house shoes,Transactional,FALSE,Product Page,Conversion,2880,1238.4,59,,,22,,,,72,6
black tennis shoes,10000,0,0.46,Apparel,Footwear,Tennis Shoe,Tennis Shoe,Find black tennis shoes,Transactional,FALSE,Product Page,Conversion,2880,1324.8,83,,,47,,,,,
walking shoes for men,9900,8,0.35,Apparel,Footwear,Walking Shoe,Walking Shoe,Find men's walking shoes,Commercial,FALSE,Blog Post,Consideration,3168,1108.8,68,,8,,,69,,,
sandal,9500,24,0,Apparel,Footwear,Sandal,Sandal,Find sandals,Transactional,FALSE,Product Page,Conversion,2736,0,38,,,,93,,,20,24
pink slippers,9500,0,0.32,Apparel,Footwear,Slipper,Slipper,Find pink slippers,Transactional,FALSE,Product Page,Conversion,2736,875.52,35,,,,,,,,47
crocs slides,9400,0,0.64,Apparel,Footwear,Slide,Slide,Find Crocs slides,Transactional,TRUE,Product Page,Conversion,3790,2425.6,59,,76,,,,,,
orthopedic shoes for women,9400,9,0.57,Apparel,Footwear,Orthopedic Shoe,Orthopedic Shoe,Find orthopedic shoes for women,Commercial,FALSE,Blog Post,Consideration,3008,1714.56,32,,1,1,18,9,,,
shop shoes,9400,92,0.54,Apparel,Footwear,General Shoe,Shoe,Shop for shoes,Transactional,FALSE,Product Page,Conversion,2707,1461.7800000000002,79,,103,,,,,,
croc shoes,9300,51,0.41,Apparel,Footwear,Clog,Clog,Find Crocs shoes,Transactional,TRUE,Product Page,Conversion,3750,1537.5,63,72,,,,,,,
orange crocs,9200,0,0.37,Apparel,Footwear,Clog,Clog,Find orange Crocs,Transactional,TRUE,Product Page,Conversion,3709,1372.33,79,74,,,,,,,
the good feet store near me,8900,0,0.89,Retail,Foot Health,Service,Foot Store,Find The Good Feet Store location,Navigational,TRUE,Homepage,Retention,3987,3548.43,37,,,,,19,,,
best shoes for walking all day,8900,11,0.31,Apparel,Footwear,Walking Shoe,Walking Shoe,Research best shoes for walking all day,Commercial,FALSE,Blog Post,Consideration,2848,882.88,59,,7,39,,26,,,
best house slippers,8700,3,0.5,Apparel,Footwear,Slipper,Slipper,Research best house slippers,Commercial,FALSE,Blog Post,Consideration,2784,1392,74,,,,,26,,,20
men's crocs,8700,0,0.32,Apparel,Footwear,Clog,Clog,Find men's Crocs,Transactional,TRUE,Product Page,Conversion,3508,1122.56,69,,96,,,,,,
womens sandals,8700,15,0.28,Apparel,Footwear,Sandal,Sandal,Find women's sandals,Transactional,FALSE,Product Page,Conversion,2506,701.6800000000001,76,,81,,75,,,26,9
footwear,8600,72,0.23,Apparel,Footwear,General Footwear,Footwear,Browse footwear,Transactional,FALSE,Product Page,Conversion,2477,569.71,20,80,,15,,,,,
men sandals,8500,8,0.44,Apparel,Footwear,Sandal,Sandal,Find men's sandals,Transactional,FALSE,Product Page,Conversion,2448,1077.1200000000001,29,,34,,,,,2,33
flip flop,8500,48,0.52,Apparel,Footwear,Flip Flop,Flip Flop,Find flip flops,Transactional,FALSE,Product Page,Conversion,2448,1272.96,33,,,,,,,10,15
work shoes for women,8200,2,0.4,Apparel,Footwear,Work Shoe,Work Shoe,Find women's work shoes,Commercial,FALSE,Blog Post,Consideration,2624,1049.6000000000001,81,,71,,,,,,
womens clogs,8200,1,0.35,Apparel,Footwear,Clog,Clog,Find women's clogs,Transactional,FALSE,Product Page,Conversion,2362,826.6999999999999,64,,,,69,,,23,
black slippers,8000,0,0.45,Apparel,Footwear,Slipper,Slipper,Find black slippers,Transactional,FALSE,Product Page,Conversion,2304,1036.8,57,,,,,71,,,67
hoka coupon code,8000,0,0.8,Apparel,Footwear,Discount,Coupon,Find Hoka coupon code,Transactional,TRUE,Product Page,Conversion,3226,2580.8,76,,3,,,,,,
slippers with arch support,8000,7,0.47,Apparel,Footwear,Supportive Slipper,Slipper,Find slippers with arch support,Commercial,FALSE,Blog Post,Consideration,2560,1203.1999999999998,25,,,38,42,11,,,4
vionic boots,7600,0,0.09,Apparel,Footwear,Boot,Boot,Find Vionic boots,Transactional,TRUE,Product Page,Conversion,3064,275.76,57,,,,,72,,,
crocs logo,7500,43,0.05,Apparel,Footwear,Brand Information,Brand,Find Crocs logo,Informational,TRUE,Blog Post,Awareness,3696,184.8,75,102,,,,,,,
fuzzy slippers for women,7100,0,0.43,Apparel,Footwear,Slipper,Slipper,Find fuzzy slippers for women,Transactional,FALSE,Product Page,Conversion,2045,879.35,20,,,,,,,,9
comfortable shoes for women,7000,5,0.31,Apparel,Footwear,Comfortable Shoe,Comfortable Shoe,Find comfortable shoes for women,Commercial,FALSE,Blog Post,Consideration,2240,694.4,80,,41,,,71,,,47
oofas,6900,7,0,Apparel,Footwear,General Footwear,Footwear,Find Oofos products,Transactional,TRUE,Product Page,Conversion,2782,0,1,,,,,,,,109
oofos near me,6800,2,0.28,Apparel,Footwear,Retailer,Retailer,Find Oofos retailers near me,Navigational,TRUE,Homepage,Retention,3046,852.8800000000001,2,,,,,,,,45
black non slip shoes,6700,0,0.33,Apparel,Footwear,Non-slip Shoe,Non-slip Shoe,Find black non-slip shoes,Commercial,FALSE,Blog Post,Consideration,2144,707.52,38,,77,,,,,,
slippers near me,6700,38,0.31,Apparel,Footwear,Retailer,Retailer,Find slipper retailers near me,Navigational,FALSE,Homepage,Retention,2144,664.64,63,,108,,,81,,92,11
best shoes for walking and standing all day,6500,8,0.34,Apparel,Footwear,Walking Shoe,Walking Shoe,Research best shoes for walking and standing all day,Commercial,FALSE,Blog Post,Consideration,2080,707.2,93,,22,41,,18,,,
birkenstock boots women,6500,0,0.29,Apparel,Footwear,Boot,Boot,Find Birkenstock women's boots,Transactional,TRUE,Product Page,Conversion,2621,760.0899999999999,59,,,,,,,95,
vionic shoes for women,6500,6,0.23,Apparel,Footwear,General Shoe,Shoe,Find Vionic shoes for women,Transactional,TRUE,Product Page,Conversion,2621,602.83,82,,,,,77,,,
house shoes for women,6300,6,0.38,Apparel,Footwear,Slipper,Slipper,Find house shoes for women,Transactional,FALSE,Product Page,Conversion,1814,689.32,57,,,39,,17,,,4
black slides,6200,0,0.45,Apparel,Footwear,Slide,Slide,Find black slides,Transactional,FALSE,Product Page,Conversion,1786,803.7,16,,,,,,,57,34
gym shoes for women,6200,31,0.47,Apparel,Footwear,Athletic Shoe,Shoe,Find gym shoes for women,Transactional,FALSE,Product Page,Conversion,1786,839.42,74,,20,65,,,,,
womens slides,6200,4,0.38,Apparel,Footwear,Slide,Slide,Find women's slides,Transactional,FALSE,Product Page,Conversion,1786,678.6800000000001,38,,52,,,,,5,16
ooka,6100,22,0.32,Apparel,Footwear,Footwear,Ooka,Find Ooka products,Navigational,TRUE,Homepage,Retention,2733,874.5600000000001,92,,62,,,,,,
house shoes for men,6000,10,0.43,Apparel,Footwear,Slipper,Slipper,Find house shoes for men,Transactional,FALSE,Product Page,Conversion,1728,743.04,51,,,20,,7,,67,2
vionic sandals,5900,5,0.22,Apparel,Footwear,Sandal,Sandal,Find Vionic sandals,Transactional,TRUE,Product Page,Conversion,2379,523.38,49,,,,64,80,,,
mens thongs,5900,39,0.23,Apparel,Footwear,Flip Flop,Flip Flop,Find men's flip flops,Transactional,FALSE,Product Page,Conversion,1699,390.77000000000004,83,,,,,,,,87
neuropathy socks,5700,0,0.32,Apparel,Hosiery,Sock,Sock,Find neuropathy socks,Transactional,FALSE,Product Page,Conversion,1642,525.44,69,,,,,47,,,
shoe websites,5600,93,0.2,Apparel,Footwear,Footwear,Shoe Store,Find shoe websites,Commercial,FALSE,Blog Post,Consideration,1792,358.40000000000003,74,,102,,,,,,
flip flops women,5600,9,0.47,Apparel,Footwear,Flip Flop,Flip Flop,Find women's flip flops,Transactional,FALSE,Product Page,Conversion,1613,758.11,39,,68,,85,,,2,
oofoos,5400,6,0,Apparel,Footwear,Footwear,Oofo,Find Oofos products,Navigational,TRUE,Homepage,Retention,2419,0,1,,,,,,,,100
